customer_id,age,gender,location,account_age_days,total_purchases,avg_order_value,total_revenue,days_since_last_purchase,email_open_rate,website_visits_per_month,primary_category,satisfaction_score,support_tickets,discount_usage_rate,uses_mobile_app,newsletter_subscribed,customer_lifetime_value,is_churned
CUST00018,41,Female,Suburban,97,13,67.35,875.55,8,0.523,13,Home & Garden,3.77,2,0.565,1,0,1138.21,0
CUST00019,27,Female,Suburban,340,3,150.24,450.73,44,0.225,2,Fashion,2.24,4,0.313,0,0,450.73,1
CUST00020,21,Other,Urban,163,4,31.23,124.9,42,0.476,12,Fashion,4.09,2,0.636,1,0,162.37,0
CUST00021,55,Female,Urban,239,3,21.99,65.98,43,0.118,11,Beauty,1.86,1,0.171,0,0,85.78,0
CUST00022,35,Male,Rural,389,12,132.43,1589.16,100,0.162,1,Books,3.47,4,0.308,0,0,1589.16,1
CUST00023,38,Female,Suburban,145,4,21.93,87.71,56,0.079,7,Fashion,2.65,0,0.357,1,0,114.02,0
CUST00024,20,Female,Suburban,111,7,46.9,328.32,68,0.445,9,Beauty,2.8,0,0.301,1,1,426.82,0
CUST00025,31,Male,Suburban,194,13,56.31,732.02,16,0.208,7,Fashion,5.0,4,0.35,1,1,951.63,0
CUST00026,39,Male,Urban,734,2,117.62,235.24,14,0.181,12,Fashion,2.77,0,0.224,1,0,305.81,0
CUST00027,24,Male,Suburban,395,6,84.84,509.03,10,0.377,8,Home & Garden,4.9,2,0.513,1,1,661.75,0
CUST00028,42,Male,Urban,161,5,47.87,239.37,67,0.075,2,Sports,4.2,0,0.07,0,0,239.37,1
CUST00029,30,Male,Urban,176,8,15.0,120.0,53,0.082,1,Electronics,3.06,0,0.076,1,0,120.0,1
CUST00030,34,Female,Suburban,648,8,60.89,487.09,18,0.422,6,Beauty,4.42,0,0.626,0,1,633.22,0
CUST00031,30,Male,Urban,85,6,73.11,438.63,6,0.544,6,Electronics,3.1,1,0.308,0,1,570.22,0
CUST00032,60,Male,Rural,724,3,219.65,658.94,84,0.113,1,Fashion,3.35,1,0.406,1,0,658.94,1
CUST00033,37,Female,Urban,140,5,15.0,75.0,21,0.394,17,Fashion,4.77,0,0.296,1,1,97.5,0
CUST00034,25,Female,Rural,704,5,103.05,515.25,9,0.249,6,Sports,3.14,2,0.137,1,1,669.82,0
CUST00035,47,Female,Rural,533,6,84.97,509.83,7,0.38,5,Books,3.4,1,0.494,1,1,662.79,0
CUST00036,23,Male,Urban,125,4,88.56,354.25,113,0.12,2,Fashion,2.61,0,0.182,0,0,354.25,1
CUST00037,40,Female,Suburban,479,6,19.25,115.49,6,0.7,5,Electronics,3.17,2,0.443,1,1,150.13,0
CUST00038,18,Female,Urban,66,4,128.68,514.73,20,0.021,10,Beauty,3.19,1,0.28,1,1,669.15,0
CUST00039,22,Male,Rural,606,6,98.1,588.6,45,0.686,5,Fashion,3.64,1,0.194,0,1,765.18,0
CUST00040,40,Male,Suburban,123,1,37.56,37.56,23,0.47,10,Electronics,3.58,2,0.475,1,1,48.83,0
CUST00041,46,Female,Suburban,607,1,15.0,15.0,29,0.165,5,Beauty,2.59,0,0.187,0,1,19.5,0
CUST00042,40,Female,Suburban,90,5,115.18,575.91,73,0.051,6,Fashion,3.49,2,0.332,0,1,748.68,0
CUST00043,36,Other,Urban,130,1,53.86,53.86,322,0.29,1,Home & Garden,2.47,6,0.164,1,0,53.86,1
CUST00044,34,Female,Urban,845,4,100.1,400.4,28,0.469,2,Beauty,4.98,1,0.548,1,1,520.52,0
CUST00045,20,Female,Urban,425,13,141.1,1834.32,21,0.227,2,Fashion,2.43,0,0.409,1,0,1834.32,1
CUST00046,29,Female,Suburban,142,12,225.84,2710.08,23,0.242,9,Fashion,3.33,0,0.17,1,0,3523.11,0
CUST00047,32,Male,Suburban,365,4,203.02,812.07,20,0.736,9,Electronics,3.94,3,0.39,1,1,1055.69,0
CUST00048,50,Male,Suburban,359,7,243.91,1707.35,28,0.16,7,Sports,5.0,1,0.171,0,1,2219.56,0
CUST00049,42,Male,Urban,250,5,163.42,817.08,18,0.641,6,Home & Garden,4.67,1,0.162,0,0,1062.2,0
CUST00050,18,Female,Suburban,357,6,41.43,248.56,27,0.651,13,Home & Garden,4.72,2,0.271,1,1,323.13,0
CUST00051,41,Female,Urban,653,8,50.63,405.01,130,0.183,2,Sports,2.84,0,0.46,1,0,405.01,1
CUST00052,33,Female,Suburban,523,6,15.0,90.0,15,0.108,4,Home & Garden,3.76,1,0.357,1,1,117.0,0
CUST00053,29,Male,Rural,439,5,123.71,618.54,47,0.278,8,Books,4.39,2,0.071,0,1,804.1,0
CUST00054,45,Female,Urban,138,7,70.33,492.33,30,0.552,12,Beauty,3.57,0,0.42,1,1,640.03,0
CUST00055,50,Male,Urban,89,8,101.75,814.0,59,0.509,11,Books,3.86,1,0.586,0,1,1058.2,0
CUST00056,49,Male,Urban,283,4,75.51,302.03,28,0.641,7,Beauty,3.27,2,0.383,0,1,392.65,0
CUST00057,27,Female,Suburban,531,17,59.34,1008.78,7,0.66,6,Fashion,4.37,3,0.415,1,1,1311.42,0
CUST00058,34,Female,Suburban,39,15,33.77,506.6,92,0.392,7,Books,3.19,2,0.13,1,0,658.58,0
CUST00059,41,Other,Suburban,204,12,53.72,644.61,50,0.496,4,Beauty,5.0,5,0.253,1,1,837.99,0
CUST00060,49,Male,Urban,418,9,56.35,507.18,33,0.507,7,Sports,4.01,0,0.221,0,0,659.33,0
CUST00061,32,Female,Suburban,714,4,46.89,187.58,80,0.236,5,Beauty,4.38,0,0.268,1,1,243.85,0
CUST00062,35,Male,Suburban,282,1,97.7,97.7,168,0.217,2,Beauty,2.81,0,0.263,1,0,97.7,1
CUST00063,24,Male,Urban,193,23,144.87,3332.01,23,0.283,11,Sports,3.37,1,0.277,1,0,4331.62,0
CUST00064,23,Female,Suburban,302,1,67.28,67.28,19,0.39,11,Beauty,3.54,2,0.64,1,1,87.47,0
CUST00065,47,Female,Urban,440,6,110.8,664.8,63,0.776,7,Fashion,3.92,1,0.102,1,1,864.24,0
CUST00066,54,Female,Suburban,59,4,128.97,515.9,27,0.695,13,Electronics,4.58,1,0.196,1,0,670.67,0
CUST00067,37,Male,Rural,132,20,93.77,1875.39,4,0.521,9,Electronics,3.13,1,0.548,1,1,2438.01,0
CUST00068,50,Female,Urban,147,8,132.84,1062.75,19,0.4,16,Electronics,3.51,3,0.554,1,1,1381.57,0
CUST00069,42,Male,Suburban,225,2,51.83,103.66,74,0.291,2,Beauty,4.2,1,0.55,1,0,103.66,1
CUST00070,30,Female,Suburban,626,5,110.44,552.2,55,0.127,8,Home & Garden,3.16,2,0.076,1,1,717.87,0
CUST00071,42,Male,Urban,122,5,95.79,478.97,89,0.075,2,Electronics,1.88,3,0.121,1,0,478.97,1
CUST00072,56,Male,Suburban,171,5,165.56,827.78,7,0.469,6,Books,3.94,1,0.09,1,1,1076.12,0
CUST00073,37,Female,Suburban,86,2,112.13,224.25,12,0.241,5,Beauty,1.8,1,0.231,0,0,224.25,1
CUST00074,56,Female,Urban,227,0,21.11,0.0,10,0.051,11,Beauty,4.19,2,0.554,1,0,0.0,0
CUST00075,18,Male,Urban,244,12,49.23,590.82,159,0.098,2,Fashion,2.26,0,0.143,1,0,590.82,1
CUST00076,47,Male,Urban,260,14,137.31,1922.36,8,0.743,8,Beauty,3.14,2,0.116,0,0,2499.06,0
CUST00077,39,Female,Urban,1095,4,172.04,688.16,41,0.253,4,Sports,4.13,1,0.328,0,0,894.61,0
CUST00078,34,Male,Urban,528,1,139.57,139.57,45,0.319,7,Beauty,4.1,3,0.453,1,1,181.44,0
CUST00079,39,Male,Urban,291,16,89.45,1431.19,43,0.073,3,Sports,3.37,1,0.139,0,0,1860.55,0
CUST00080,18,Male,Urban,434,9,88.02,792.21,52,0.167,8,Beauty,3.43,1,0.136,1,0,1029.87,0
CUST00081,35,Male,Rural,185,4,148.84,595.35,29,0.829,8,Fashion,3.89,1,0.587,1,1,773.96,0
CUST00082,42,Female,Urban,1083,3,44.46,133.38,3,0.438,7,Sports,2.34,3,0.173,0,1,173.39,0
CUST00083,55,Female,Suburban,545,4,109.03,436.11,54,0.135,6,Beauty,4.87,1,0.143,1,1,566.94,0
CUST00084,31,Female,Suburban,494,25,44.68,1117.0,14,0.145,7,Beauty,3.69,1,0.296,1,1,1452.1,0
CUST00085,28,Other,Suburban,730,5,104.09,520.44,3,0.398,8,Home & Garden,3.71,0,0.422,1,0,676.57,0
CUST00086,31,Male,Urban,912,5,93.37,466.84,8,0.173,13,Fashion,3.99,0,0.242,1,1,606.89,0
CUST00087,48,Male,Rural,125,5,106.68,533.39,15,0.556,11,Beauty,3.29,2,0.158,0,0,693.41,0
CUST00088,41,Male,Suburban,672,2,105.54,211.08,25,0.712,10,Sports,3.83,0,0.6,1,1,274.41,0
CUST00089,31,Male,Suburban,412,9,63.87,574.83,88,0.633,14,Beauty,3.69,1,0.184,1,1,747.28,0
CUST00090,44,Male,Urban,370,9,76.33,686.99,34,0.526,8,Sports,3.18,1,0.443,1,1,893.08,0
CUST00091,39,Female,Urban,837,1,52.08,52.08,28,0.201,8,Electronics,3.54,3,0.392,1,1,67.7,0
CUST00092,49,Female,Suburban,135,5,95.19,475.94,9,0.071,7,Electronics,5.0,0,0.474,0,1,618.73,0
CUST00093,29,Male,Urban,295,9,47.19,424.71,144,0.2,3,Home & Garden,3.46,3,0.134,1,0,424.71,1
CUST00094,34,Female,Suburban,265,11,150.18,1651.98,107,0.194,4,Fashion,3.28,3,0.142,1,0,1651.98,1
CUST00095,33,Female,Urban,407,5,81.22,406.12,76,0.278,1,Fashion,2.24,1,0.347,1,0,406.12,1
CUST00096,20,Female,Suburban,421,8,202.29,1618.32,17,0.486,13,Home & Garden,4.34,0,0.225,1,0,2103.82,0
CUST00097,41,Female,Rural,654,3,84.04,252.12,37,0.801,6,Fashion,3.17,4,0.094,1,0,327.75,0
CUST00098,41,Female,Suburban,315,7,26.93,188.54,22,0.518,5,Home & Garden,4.61,2,0.165,0,1,245.1,0
CUST00099,38,Female,Suburban,883,8,153.0,1223.97,23,0.379,13,Books,4.1,3,0.078,0,1,1591.16,0
CUST00100,35,Female,Suburban,441,9,153.8,1384.17,3,0.097,5,Books,2.45,2,0.296,1,1,1799.42,0
CUST00101,21,Female,Suburban,123,8,64.68,517.4,6,0.215,7,Sports,3.3,2,0.122,0,1,672.63,0
CUST00102,32,Male,Rural,189,8,80.48,643.8,146,0.143,4,Electronics,3.45,1,0.268,1,0,643.8,1
CUST00103,33,Male,Rural,493,6,50.61,303.67,42,0.142,8,Fashion,3.77,1,0.17,0,1,394.78,0
CUST00104,28,Female,Suburban,420,7,169.08,1183.54,0,0.163,6,Books,4.19,4,0.094,0,0,1538.6,0
CUST00105,36,Male,Urban,403,1,110.19,110.19,74,0.297,2,Sports,3.37,3,0.333,1,0,110.19,1
CUST00106,42,Male,Suburban,970,8,50.34,402.68,4,0.19,5,Home & Garden,3.09,1,0.284,1,1,523.49,0
CUST00107,60,Female,Urban,608,0,32.92,0.0,55,0.194,3,Fashion,4.2,4,0.541,0,0,0.0,1
CUST00108,40,Male,Urban,221,8,89.92,719.32,43,0.51,9,Sports,3.17,0,0.254,1,1,935.12,0
CUST00109,41,Female,Suburban,271,10,61.18,611.82,2,0.395,6,Sports,3.73,0,0.151,1,0,795.37,0
CUST00110,37,Female,Suburban,212,5,17.75,88.74,34,0.236,7,Beauty,2.8,1,0.634,1,0,115.36,0
CUST00111,18,Other,Rural,149,2,34.91,69.82,2,0.15,7,Home & Garden,4.0,0,0.368,1,0,90.77,0
CUST00112,37,Female,Urban,1015,1,115.36,115.36,2,0.319,11,Electronics,3.75,1,0.348,0,1,149.97,0
CUST00113,38,Male,Urban,417,11,31.56,347.18,2,0.318,4,Books,2.13,1,0.242,1,1,451.33,0
CUST00114,67,Female,Rural,105,7,189.81,1328.67,13,0.758,5,Home & Garden,3.36,1,0.46,1,1,1727.28,0
CUST00115,35,Female,Urban,827,1,49.58,49.58,72,0.361,9,Sports,3.9,3,0.113,1,1,64.46,0
CUST00116,41,Other,Suburban,168,9,75.49,679.38,20,0.407,6,Electronics,3.63,2,0.23,0,0,883.2,0
CUST00117,37,Male,Urban,365,9,66.05,594.46,45,0.382,5,Sports,3.38,3,0.339,1,0,772.8,0
CUST00118,23,Male,Urban,326,11,92.83,1021.18,6,0.649,5,Fashion,5.0,2,0.453,0,1,1327.53,0
CUST00119,51,Female,Rural,75,6,95.0,569.99,121,0.051,2,Fashion,2.57,4,0.071,0,0,569.99,1
CUST00120,47,Male,Urban,42,5,45.6,228.01,31,0.408,9,Electronics,2.49,1,0.141,0,1,296.41,0
CUST00121,47,Female,Urban,533,5,100.68,503.39,1,0.376,9,Sports,4.3,2,0.598,0,1,654.41,0
CUST00122,27,Male,Urban,702,8,67.16,537.32,34,0.557,6,Books,4.34,3,0.112,1,1,698.51,0
CUST00123,54,Male,Rural,382,14,51.8,725.15,9,0.276,6,Fashion,4.09,1,0.574,1,1,942.7,0
CUST00124,21,Male,Rural,1095,4,116.8,467.22,9,0.742,10,Books,3.72,1,0.606,0,1,607.39,0
CUST00125,45,Male,Urban,180,0,75.46,0.0,41,0.71,9,Books,3.75,1,0.238,1,0,0.0,0
CUST00126,64,Female,Urban,56,8,167.57,1340.58,11,0.115,10,Beauty,2.94,0,0.418,1,1,1742.75,0
CUST00127,26,Female,Suburban,426,4,41.86,167.43,10,0.116,7,Books,4.01,2,0.297,1,1,217.65,0
CUST00128,31,Male,Urban,132,10,15.0,150.0,35,0.068,9,Electronics,2.85,0,0.082,1,0,195.0,0
CUST00129,39,Female,Suburban,294,5,100.94,504.7,12,0.251,4,Beauty,3.97,3,0.083,1,1,656.11,0
CUST00130,31,Male,Urban,617,10,42.14,421.43,5,0.446,10,Sports,2.68,0,0.245,0,0,547.86,0
CUST00131,19,Female,Urban,199,3,39.62,118.87,23,0.6,6,Electronics,2.73,1,0.378,0,0,154.53,0
CUST00132,38,Male,Suburban,294,9,39.87,358.82,2,0.168,6,Home & Garden,5.0,2,0.119,0,0,466.47,0
CUST00133,25,Female,Urban,680,2,153.64,307.27,106,0.326,4,Fashion,1.63,4,0.256,1,0,307.27,1
CUST00134,43,Female,Rural,265,7,231.57,1621.02,27,0.115,2,Books,2.83,3,0.366,1,0,1621.02,1
CUST00135,26,Female,Urban,426,16,112.18,1794.9,0,0.357,12,Sports,3.97,2,0.22,1,1,2333.37,0
CUST00136,56,Female,Urban,465,18,38.86,699.55,11,0.801,6,Books,4.24,1,0.138,1,0,909.41,0
CUST00137,28,Female,Rural,267,12,37.07,444.83,142,0.159,3,Electronics,1.78,1,0.221,1,0,444.83,1
CUST00138,34,Other,Urban,274,3,227.86,683.59,30,0.791,8,Sports,2.62,0,0.502,0,0,888.67,0
CUST00139,47,Female,Suburban,303,18,56.05,1008.84,20,0.415,8,Home & Garden,4.11,2,0.528,1,1,1311.5,0
CUST00140,23,Female,Urban,181,4,196.03,784.1,17,0.755,5,Electronics,4.17,0,0.562,1,1,1019.33,0
CUST00141,40,Female,Suburban,411,5,133.65,668.27,24,0.106,11,Sports,3.73,2,0.285,1,1,868.75,0
CUST00142,53,Male,Suburban,184,4,167.17,668.67,10,0.694,7,Beauty,4.48,2,0.159,1,0,869.27,0
CUST00143,18,Female,Urban,205,4,178.82,715.28,62,0.298,6,Fashion,4.22,0,0.071,1,1,929.86,0
CUST00144,40,Male,Suburban,134,7,83.83,586.79,31,0.598,4,Electronics,4.51,0,0.356,0,1,762.82,0
CUST00145,41,Female,Suburban,717,17,81.24,1381.05,62,0.128,7,Sports,3.86,1,0.173,1,1,1795.37,0
CUST00146,47,Female,Urban,91,4,72.22,288.89,13,0.497,11,Sports,4.09,4,0.227,1,1,375.55,0
CUST00147,23,Female,Suburban,986,12,91.0,1091.99,0,0.467,7,Home & Garden,4.26,2,0.168,0,1,1419.59,0
CUST00148,22,Male,Suburban,281,10,194.92,1949.19,152,0.037,3,Sports,2.69,1,0.494,1,0,1949.19,1
CUST00149,44,Male,Urban,222,21,156.44,3285.21,32,0.305,4,Sports,4.32,1,0.302,1,1,4270.78,0
CUST00150,41,Female,Urban,135,2,75.82,151.65,3,0.145,8,Books,3.97,1,0.425,1,1,197.14,0
CUST00151,41,Female,Urban,147,4,88.11,352.43,4,0.48,8,Home & Garden,3.7,0,0.236,1,1,458.16,0
CUST00152,42,Male,Urban,183,6,40.87,245.25,25,0.628,5,Beauty,3.26,1,0.081,0,1,318.82,0
CUST00153,29,Male,Suburban,1095,16,164.48,2631.61,53,0.454,9,Electronics,3.87,1,0.409,1,1,3421.09,0
CUST00154,40,Female,Suburban,183,6,64.32,385.92,22,0.558,6,Home & Garden,3.63,0,0.11,0,1,501.69,0
CUST00155,41,Female,Rural,434,4,67.61,270.46,77,0.186,1,Home & Garden,2.62,1,0.193,1,0,270.46,1
CUST00156,29,Male,Urban,255,6,63.14,378.83,17,0.367,3,Fashion,3.27,2,0.278,1,1,492.48,0
CUST00157,60,Male,Urban,1040,3,140.97,422.92,2,0.359,11,Sports,4.26,1,0.186,1,1,549.8,0
CUST00158,43,Male,Suburban,360,12,103.7,1244.44,0,0.188,11,Books,3.51,2,0.302,1,0,1617.78,0
CUST00159,23,Other,Suburban,107,4,29.75,118.98,88,0.201,2,Beauty,3.12,0,0.056,1,0,118.98,1
CUST00160,45,Male,Suburban,210,2,75.66,151.31,187,0.365,2,Sports,2.34,0,0.19,0,0,151.31,1
CUST00161,26,Male,Urban,1095,17,39.82,676.92,6,0.232,12,Electronics,3.67,1,0.342,1,1,880.0,0
CUST00162,47,Male,Urban,546,9,227.5,2047.52,2,0.654,11,Fashion,5.0,2,0.676,1,0,2661.78,0
CUST00163,51,Male,Urban,296,13,15.0,195.0,110,0.447,4,Sports,4.24,1,0.345,0,1,253.5,0
CUST00164,28,Female,Rural,140,6,30.49,182.92,4,0.455,14,Home & Garden,4.11,0,0.188,0,0,237.79,0
CUST00165,49,Male,Urban,154,5,37.04,185.22,11,0.431,1,Beauty,3.66,1,0.197,1,1,240.79,0
CUST00166,42,Male,Rural,122,3,161.88,485.63,72,0.437,12,Sports,4.2,1,0.104,1,0,631.32,0
CUST00167,47,Male,Suburban,70,1,50.33,50.33,279,0.166,3,Sports,3.01,0,0.109,1,0,50.33,1
CUST00168,60,Male,Urban,522,2,31.69,63.39,29,0.504,3,Home & Garden,4.0,0,0.296,1,1,82.4,0
CUST00169,35,Male,Suburban,458,6,82.0,491.99,10,0.322,7,Electronics,2.86,4,0.504,1,0,639.59,0
CUST00170,28,Female,Suburban,340,5,46.35,231.74,84,0.244,7,Sports,3.47,0,0.152,1,1,301.27,0
CUST00171,27,Female,Rural,783,2,52.43,104.86,22,0.295,4,Books,3.43,1,0.237,0,0,136.32,0
CUST00172,28,Female,Urban,509,6,22.97,137.84,14,0.478,7,Beauty,3.25,8,0.425,0,1,179.19,0
CUST00173,37,Female,Urban,85,2,68.34,136.68,30,0.466,7,Electronics,3.68,2,0.416,1,1,177.69,0
CUST00174,42,Female,Urban,306,4,114.39,457.56,87,0.307,3,Home & Garden,3.98,3,0.301,0,0,457.56,1
CUST00175,41,Male,Urban,566,4,132.44,529.77,11,0.4,11,Sports,2.66,2,0.683,1,1,688.7,0
CUST00176,47,Female,Suburban,308,4,75.24,300.95,24,0.288,6,Books,4.03,1,0.117,0,0,391.24,0
CUST00177,38,Female,Rural,331,3,87.63,262.88,26,0.441,9,Fashion,4.09,1,0.22,1,1,341.75,0
CUST00178,55,Female,Urban,68,8,74.9,599.23,80,0.104,2,Home & Garden,3.46,4,0.139,1,0,599.23,1
CUST00179,34,Female,Suburban,188,3,88.16,264.48,50,0.346,2,Books,2.54,3,0.219,0,0,264.48,1
CUST00180,70,Male,Suburban,436,8,159.24,1273.9,68,0.261,8,Electronics,4.24,1,0.194,1,1,1656.07,0
CUST00181,45,Female,Urban,272,10,178.87,1788.7,53,0.288,7,Books,4.38,3,0.283,0,1,2325.31,0
CUST00182,27,Female,Urban,79,10,24.18,241.77,40,0.402,11,Books,3.69,1,0.463,1,1,314.31,0
CUST00183,25,Other,Suburban,560,5,106.39,531.96,6,0.432,10,Books,4.22,0,0.448,1,0,691.55,0
CUST00184,43,Male,Rural,263,10,138.93,1389.3,80,0.573,7,Beauty,4.63,0,0.367,1,1,1806.1,0
CUST00185,35,Male,Suburban,327,3,67.72,203.15,42,0.445,9,Beauty,4.82,1,0.283,1,0,264.09,0
CUST00186,46,Male,Urban,86,9,113.3,1019.7,54,0.167,4,Fashion,3.24,1,0.707,0,0,1019.7,1
CUST00187,43,Female,Urban,60,12,108.98,1307.72,67,0.304,16,Fashion,3.18,0,0.522,0,0,1700.03,0
CUST00188,37,Male,Urban,341,0,76.64,0.0,16,0.587,5,Electronics,3.31,1,0.225,0,0,0.0,0
CUST00189,27,Male,Suburban,719,5,100.73,503.67,25,0.453,4,Books,4.86,2,0.047,0,1,654.77,0
CUST00190,19,Other,Suburban,549,8,60.88,487.03,35,0.521,5,Home & Garden,4.31,3,0.35,1,1,633.14,0
CUST00191,32,Male,Urban,495,8,46.79,374.31,18,0.549,7,Sports,3.72,1,0.526,0,0,486.61,0
CUST00192,48,Female,Suburban,363,3,70.28,210.84,13,0.274,6,Beauty,3.35,6,0.327,1,1,274.1,0
CUST00193,40,Male,Suburban,102,3,73.96,221.87,67,0.159,5,Electronics,4.01,1,0.093,1,0,288.43,0
CUST00194,23,Female,Suburban,33,5,67.7,338.51,63,0.645,9,Electronics,2.93,1,0.217,1,0,440.07,0
CUST00195,40,Female,Rural,1095,10,30.12,301.16,80,0.034,2,Books,3.14,3,0.243,1,0,301.16,1
CUST00196,42,Female,Urban,262,4,75.89,303.56,53,0.58,5,Sports,4.72,2,0.237,1,1,394.63,0
CUST00197,27,Female,Rural,192,6,86.74,520.45,16,0.594,6,Books,4.61,0,0.255,1,1,676.58,0
CUST00198,39,Male,Urban,323,6,153.02,918.13,17,0.328,8,Sports,4.06,3,0.083,1,1,1193.57,0
CUST00199,38,Male,Urban,134,9,122.29,1100.58,33,0.416,10,Books,3.96,1,0.461,1,1,1430.75,0
CUST00200,24,Male,Rural,212,1,128.33,128.33,81,0.383,8,Home & Garden,4.1,1,0.043,1,0,166.82,0
CUST00201,42,Female,Rural,970,2,43.11,86.21,19,0.054,7,Fashion,2.85,1,0.266,0,1,112.08,0
CUST00202,44,Female,Suburban,396,5,124.17,620.84,65,0.389,7,Electronics,3.46,0,0.17,1,1,807.09,0
CUST00203,50,Male,Suburban,466,5,95.46,477.32,16,0.255,6,Books,4.58,0,0.198,1,1,620.52,0
CUST00204,50,Female,Suburban,281,1,106.45,106.45,18,0.327,8,Fashion,3.76,2,0.311,1,0,138.39,0
CUST00205,21,Male,Suburban,657,4,39.28,157.11,62,0.625,9,Books,4.76,0,0.107,1,1,204.24,0
CUST00206,26,Female,Urban,645,2,127.43,254.86,51,0.776,9,Electronics,3.27,1,0.178,1,1,331.32,0
CUST00207,44,Other,Suburban,257,3,96.64,289.91,10,0.66,3,Fashion,4.18,1,0.411,0,0,376.89,0
CUST00208,44,Male,Suburban,307,0,62.3,0.0,78,0.529,9,Sports,4.98,1,0.183,0,1,0.0,0
CUST00209,44,Female,Suburban,732,7,66.61,466.25,69,0.383,8,Fashion,3.9,3,0.329,1,0,606.13,0
CUST00210,75,Male,Urban,321,0,79.23,0.0,71,0.166,1,Books,3.3,1,0.187,1,0,0.0,1
CUST00211,44,Female,Suburban,233,9,83.2,748.8,28,0.263,3,Electronics,4.16,2,0.469,1,1,973.44,0
CUST00212,51,Female,Rural,247,11,27.06,297.67,17,0.116,8,Beauty,3.83,0,0.078,0,1,386.97,0
CUST00213,49,Male,Suburban,210,15,66.42,996.37,85,0.212,9,Home & Garden,4.36,1,0.07,1,1,1295.28,0
CUST00214,45,Male,Rural,318,15,84.35,1265.26,39,0.274,3,Electronics,3.47,2,0.279,0,1,1644.84,0
CUST00215,34,Male,Urban,216,6,111.74,670.44,120,0.065,3,Fashion,2.24,3,0.533,0,0,670.44,1
CUST00216,47,Female,Suburban,318,21,64.7,1358.63,13,0.233,12,Beauty,4.56,2,0.433,1,1,1766.21,0
CUST00217,28,Female,Suburban,170,5,39.48,197.38,167,0.345,3,Electronics,3.76,1,0.072,1,0,197.38,1
CUST00218,35,Male,Suburban,402,7,99.79,698.54,21,0.163,3,Electronics,4.75,0,0.062,1,0,908.1,0
CUST00219,32,Female,Suburban,446,6,26.23,157.4,21,0.406,6,Home & Garden,4.43,0,0.363,1,0,204.62,0
CUST00220,38,Female,Suburban,502,3,123.39,370.18,12,0.797,9,Fashion,3.73,0,0.078,0,1,481.24,0
CUST00221,65,Male,Rural,451,3,161.05,483.15,150,0.224,3,Electronics,2.18,1,0.306,1,0,483.15,1
CUST00222,18,Male,Suburban,623,2,64.12,128.25,1,0.548,7,Books,3.12,1,0.182,1,1,166.72,0
CUST00223,46,Female,Urban,338,7,112.83,789.82,28,0.068,1,Electronics,3.23,1,0.386,1,0,789.82,1
CUST00224,18,Female,Suburban,316,6,79.85,479.1,20,0.443,15,Electronics,3.19,1,0.209,0,1,622.83,0
CUST00225,32,Male,Urban,190,9,42.81,385.26,7,0.367,9,Fashion,5.0,0,0.525,1,0,500.84,0
CUST00226,51,Male,Urban,535,4,152.53,610.12,56,0.705,6,Electronics,4.53,1,0.138,1,0,793.15,0
